Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Revenue,Cumulative_Revenue,Total_Revenue,Revenue_Share_Pct,ABC_Class,Date_of_Sale,Run_Rate_Daily,Days_Inventory_On_Hand,Inventory_Status
haircare,SKU55,79.85505834078943,16,701,2925.6751703038126,Male,97,11,11,5,Carrier A,5.014364955030907,Supplier 2,Delhi,27,918,5,30.3235452566165,Fail,4.548919659396385,Sea,Route B,323.01292795247883,55978.39589689339,758922.6490874315,2285549.9646779993,0.33205253038270494,A (High Value),2023-04-10,23.366666666666667,4.151212553495007,Healthy
skincare,SKU14,99.1713286386242,26,562,8653.570926469802,Non-binary,54,29,78,5,Carrier B,2.039770189449332,Supplier 1,Kolkata,25,558,14,5.791436629862989,Pending,0.1006828515650937,Air,Route B,929.2352899608896,55734.286694906805,814656.9357823383,2285549.9646779993,0.35643803389663004,A (High Value),2023-09-28,18.733333333333334,2.882562277580071,Healthy
cosmetics,SKU88,75.27040697572501,58,737,9444.74203306298,Male,60,18,85,7,Carrier A,3.8012531329310777,Supplier 2,Mumbai,21,953,11,68.18491905704117,Pending,0.722204401882931,Sea,Route A,103.91624796070496,55474.28994110933,870131.2257234476,2285549.9646779993,0.38070978065274386,A (High Value),2023-05-16,24.566666666666666,2.4423337856173677,Healthy
skincare,SKU41,99.11329161531717,35,556,5521.205259010972,Female,64,19,38,8,Carrier B,5.773263743766654,Supplier 4,Chennai,18,892,7,95.3320645487725,Fail,0.0453022623982596,Sea,Route A,275.5243711313098,55106.99013811634,925238.2158615639,2285549.9646779993,0.40482082219187737,A (High Value),2023-12-18,18.533333333333335,3.4532374100719427,Healthy
haircare,SKU84,89.10436729210225,99,618,2048.2900998487103,Unknown,73,26,80,10,Carrier A,8.381615624922631,Supplier 5,Chennai,24,589,22,33.808636513209095,Pass,4.843456577118041,Air,Route B,465.457005963688,55066.49898651919,980304.7148480831,2285549.9646779993,0.4289141475785649,A (High Value),2023-01-08,20.6,3.5436893203883493,Healthy
skincare,SKU58,59.84156137728931,81,896,2021.149810337108,Non-binary,10,5,44,7,Carrier A,4.93843856471209,Supplier 3,Delhi,18,396,7,65.04741509469146,Fail,1.7303747198591968,Road,Route B,110.36433523136472,53618.038994051225,1033922.7538421343,2285549.9646779993,0.4523737261582023,A (High Value),2023-11-18,29.866666666666667,0.3348214285714286,Stock Out Risk (Hot Item)
haircare,SKU95,77.90392721944775,65,672,7386.363944048664,Unknown,15,14,26,9,Carrier B,8.630338869602754,Supplier 4,Mumbai,18,450,26,58.89068576858998,Pending,1.2108821295850665,Air,Route A,778.8642413766479,52351.43909146889,1086274.1929336032,2285549.9646779993,0.4752791274404029,A (High Value),2023-06-04,22.4,0.6696428571428572,Stock Out Risk (Hot Item)
cosmetics,SKU21,84.89386898495083,60,601,7087.052696357437,Unknown,69,25,7,6,Carrier B,6.037883769218298,Supplier 5,Chennai,19,791,4,61.73572895416093,Pending,0.0186075676310149,Air,Route C,523.360914720158,51021.21525995545,1137295.4081935587,2285549.9646779993,0.49760251395501087,A (High Value),2023-08-08,20.033333333333335,3.4442595673876872,Healthy
cosmetics,SKU44,51.35579091311039,34,919,7152.2860494355145,Female,13,19,72,6,Carrier C,7.577449657376693,Supplier 2,Delhi,7,834,18,22.554106620887744,Fail,2.962626320454882,Rail,Route A,610.4532696192277,47195.971849148445,1184491.380042707,2285549.9646779993,0.5182522361569044,A (High Value),2023-09-24,30.633333333333333,0.4243743199129488,Stock Out Risk (Hot Item)
haircare,SKU83,68.91124621160633,82,663,2411.754632110491,Unknown,65,24,7,8,Carrier B,4.949839577996949,Supplier 1,Bangalore,20,443,5,97.73059380053304,Fail,0.7730061340672478,Road,Route A,682.9710182260933,45688.15623829499,1230179.536281002,2285549.9646779993,0.5382422416017129,A (High Value),2023-05-20,22.1,2.941176470588235,Healthy
skincare,SKU67,87.75543235400107,16,513,9473.798032508335,Unknown,12,9,71,9,Carrier C,9.147811544710631,Supplier 1,Mumbai,10,198,11,7.057876146978231,Pass,0.1319554443118148,Sea,Route C,169.2718013847869,45018.53679760255,1275198.0730786046,2285549.9646779993,0.5579392674787845,A (High Value),2023-04-08,17.1,0.7017543859649122,Stock Out Risk (Hot Item)
cosmetics,SKU72,90.20442752052809,88,478,2633.121981312256,Non-binary,57,29,77,9,Carrier A,6.599614159689544,Supplier 1,Bangalore,21,152,11,55.76049289524421,Pending,3.213329607438309,Rail,Route B,677.9445698461833,43117.71635481242,1318315.7894334171,2285549.9646779993,0.5768046246230931,A (High Value),2023-09-07,15.933333333333334,3.577405857740586,Healthy
haircare,SKU99,68.51783269927664,17,627,9185.185829181704,Unknown,55,8,59,6,Carrier B,1.3110237561206226,Supplier 2,Chennai,29,921,2,38.07289852062604,Fail,0.3460272907055034,Rail,Route B,210.74300896424612,42960.681102446455,1361276.4705358637,2285549.9646779993,0.5956012739050524,A (High Value),2023-12-22,20.9,2.631578947368421,Healthy
cosmetics,SKU33,64.7954350001556,63,616,5149.9983504080365,Non-binary,4,17,95,9,Carrier C,4.85827050343664,Supplier 5,Chennai,1,251,23,23.853427512896133,Fail,3.541046012250923,Sea,Route A,371.255295519871,39913.98796009585,1401190.4584959594,2285549.9646779993,0.6130648991055274,A (High Value),2023-03-11,20.533333333333335,0.19480519480519481,Stock Out Risk (Hot Item)
cosmetics,SKU35,84.95778681635043,11,449,6541.329344802465,Female,42,27,85,8,Carrier C,5.288189990327409,Supplier 1,Delhi,3,367,2,58.004787044743765,Pass,0.5411540980605811,Sea,Route C,553.4204712303558,38146.04628054135,1439336.5047765009,2285549.9646779993,0.6297549942117684,A (High Value),2023-10-02,14.966666666666667,2.8062360801781736,Healthy
cosmetics,SKU38,52.0759306827078,75,705,9692.318040218432,Non-binary,69,1,88,5,Carrier B,9.235931437249228,Supplier 5,Mumbai,10,841,12,5.930693645528318,Pending,0.6133268991645074,Air,Route B,339.6728699486061,36713.531131309,1476050.0359078099,2285549.9646779993,0.6458183188814093,A (High Value),2023-09-01,23.5,2.9361702127659575,Healthy
haircare,SKU26,97.44694661789282,9,353,3716.493325894037,Male,59,16,48,4,Carrier B,6.507548621078551,Supplier 2,Bangalore,26,171,4,15.97222975718176,Pass,2.119319736724923,Rail,Route A,617.8669164583772,34398.77215611617,1510448.808063926,2285549.9646779993,0.6608688636901999,A (High Value),2023-08-28,11.766666666666667,5.014164305949008,Healthy
cosmetics,SKU27,92.55736081240202,42,352,2686.457223575984,Unknown,47,9,62,8,Carrier C,7.406750952998074,Supplier 5,Mumbai,25,291,4,10.528245070042162,Fail,2.864667837883373,Sea,Route B,762.4591821556837,32580.191005965513,1543028.9990698914,2285549.9646779993,0.6751237220435397,A (High Value),2023-06-21,11.733333333333333,4.005681818181818,Healthy
cosmetics,SKU73,83.8510176813046,41,375,7910.886916140686,Male,17,25,66,5,Carrier B,1.5129368369160772,Supplier 4,Chennai,13,444,4,46.87023879761716,Fail,4.620546064513706,Road,Route A,866.4728001296578,31444.131630489224,1574473.1307003805,2285549.9646779993,0.6888815186861167,A (High Value),2023-08-08,12.5,1.36,Healthy
cosmetics,SKU59,63.828398347710966,30,484,1061.618523013288,Non-binary,100,16,26,7,Carrier B,7.293722596867728,Supplier 1,Kolkata,11,176,4,1.900762243519458,Fail,0.4471940154638232,Air,Route A,312.5742736100933,30892.94480029211,1605366.0755006727,2285549.9646779993,0.7023981537532676,A (High Value),2023-02-01,16.133333333333333,6.198347107438017,Healthy
skincare,SKU20,96.34107243996338,22,320,8128.027696851192,Unknown,27,12,68,6,Carrier A,8.87833465092684,Supplier 1,Chennai,29,309,6,65.68625960848863,Pass,4.231416573534539,Air,Route B,493.87121531620585,30829.143180788284,1636195.218681461,2285549.9646779993,0.7158868736050481,A (High Value),2023-03-31,10.666666666666666,2.53125,Healthy
skincare,SKU69,54.86552851706979,62,511,1752.3810874841247,Non-binary,95,1,27,3,Carrier B,9.705286790120349,Supplier 4,Kolkata,9,862,7,77.62776581274817,Pending,1.3623879886491086,Air,Route A,207.6632062085756,28036.285072222665,1664231.5037536835,2285549.9646779993,0.7281536301868375,A (High Value),2023-06-11,17.033333333333335,5.577299412915851,Healthy
haircare,SKU22,27.67978088650196,55,884,2390.8078665561734,Unknown,71,1,63,10,Carrier A,9.56764892092304,Supplier 4,Kolkata,22,780,28,50.12083961297735,Fail,2.591275473211116,Rail,Route C,205.57199582694707,24468.926303667733,1688700.4300573512,2285549.9646779993,0.7388595550984879,A (High Value),2023-10-08,29.466666666666665,2.4095022624434392,Healthy
haircare,SKU12,71.21338907536008,41,336,2873.7414460214413,Unknown,100,30,85,4,Carrier A,1.325274010184522,Supplier 4,Kolkata,3,563,3,32.32128621342403,Fail,2.161253747555912,Road,Route B,402.9687890737706,23927.69872932099,1712628.1287866721,2285549.9646779993,0.7493286759224083,A (High Value),2023-01-06,11.2,8.928571428571429,Healthy
haircare,SKU46,27.0822071998889,75,859,2556.767360633596,Non-binary,92,29,6,8,Carrier B,4.070955837084083,Supplier 3,Chennai,18,870,23,77.32235321105162,Pending,3.6486105925362033,Road,Route B,380.4359371119643,23263.615984704564,1735891.7447713767,2285549.9646779993,0.7595072396572781,A (High Value),2023-09-30,28.633333333333333,3.2130384167636787,Healthy
haircare,SKU18,36.443627770460935,23,620,9364.673505076173,Unknown,10,10,46,8,Carrier C,4.339224714110709,Supplier 2,Kolkata,18,374,17,27.10798085484392,Pending,2.231939110729264,Sea,Route A,593.4802587206518,22595.04921768578,1758486.7939890625,2285549.9646779993,0.7693932844022545,A (High Value),2023-12-01,20.666666666666668,0.4838709677419355,Stock Out Risk (Hot Item)
skincare,SKU34,37.46759232984246,96,602,9061.710895507724,Unknown,1,26,21,7,Carrier A,1.019487570822119,Supplier 1,Chennai,4,452,10,10.754272815029331,Pass,0.6466045593720549,Road,Route B,510.3580004335235,22555.490582565162,1781042.2845716276,2285549.9646779993,0.7792620210000749,A (High Value),2023-06-19,20.066666666666666,0.04983388704318937,Stock Out Risk (Hot Item)
skincare,SKU37,23.39984475261435,5,963,2438.339930470029,Female,25,8,21,9,Carrier A,1.5326552735904306,Supplier 3,Kolkata,24,867,15,34.34327746507538,Pending,2.610288084848113,Sea,Route A,183.9329680435944,22534.050496767617,1803576.3350683951,2285549.9646779993,0.7891213768859754,A (High Value),2023-06-19,32.1,0.778816199376947,Stock Out Risk (Hot Item)
haircare,SKU77,57.44974295897148,14,359,2483.7601775427947,Unknown,96,28,57,4,Carrier B,6.780946625617895,Supplier 1,Kolkata,26,334,5,42.95244474899184,Pass,3.055141818307548,Road,Route B,852.56809891985,20624.45772227076,1824200.792790666,2285549.9646779993,0.7981452258680634,A (High Value),2023-09-28,11.966666666666667,8.022284122562674,Healthy
cosmetics,SKU62,72.79635395558736,89,270,3899.746833729224,Unknown,86,2,40,7,Carrier C,7.291701388776776,Supplier 2,Mumbai,13,751,14,21.048642725168644,Pass,1.8740014040443749,Sea,Route C,320.8465157591116,19655.015568008588,1843855.8083586746,2285549.9646779993,0.8067449134145037,B (Medium Value),2023-10-16,9.0,9.555555555555555,Healthy
haircare,SKU54,31.146243160240854,11,622,6088.021479940859,Non-binary,33,22,61,3,Carrier B,4.305103471287636,Supplier 1,Kolkata,26,497,29,30.186023375822508,Pass,2.478771975539748,Road,Route B,814.0699965821875,19372.963245669813,1863228.7716043445,2285549.9646779993,0.8152211941981528,B (Medium Value),2023-03-22,20.733333333333334,1.5916398713826365,Healthy
skincare,SKU66,26.03486977396209,52,704,8367.721618020154,Female,13,17,19,8,Carrier A,2.2161427287713638,Supplier 5,Kolkata,24,867,28,42.08443673830996,Fail,3.4480632883402618,Road,Route A,393.8433485784279,18328.54832086931,1881557.3199252137,2285549.9646779993,0.823240510600825,B (Medium Value),2023-03-26,23.466666666666665,0.5539772727272727,Stock Out Risk (Hot Item)
cosmetics,SKU7,42.95838438246007,59,426,8496.103813089838,Female,93,17,11,1,Carrier B,2.3483387844177805,Supplier 4,Bangalore,22,564,1,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.0563118175586,18300.27174692799,1899857.5916721416,2285549.9646779993,0.831247455112977,B (Medium Value),2023-09-21,14.2,6.549295774647887,Healthy
skincare,SKU98,19.7546048668786,43,913,8525.952559683526,Female,53,1,27,7,Carrier B,1.409801095138073,Supplier 5,Chennai,28,581,9,5.604690864371781,Pending,2.908122169351261,Rail,Route A,882.1988635470415,18035.954243460164,1917893.5459156018,2285549.9646779993,0.8391387524034308,B (Medium Value),2023-03-06,30.433333333333334,1.7415115005476451,Healthy
skincare,SKU15,36.98924492862691,94,469,5442.086785397673,Non-binary,9,8,69,7,Carrier B,2.4220397232752044,Supplier 1,Bangalore,14,580,7,97.12128175147431,Pass,2.264405761198549,Sea,Route B,127.8618000016254,17347.95587152602,1935241.5017871277,2285549.9646779993,0.8467290287656324,B (Medium Value),2023-04-14,15.633333333333333,0.5756929637526653,Healthy
haircare,SKU76,69.10879954743032,23,241,5328.375984297758,Male,38,1,22,10,Carrier A,7.054538336836926,Supplier 2,Bangalore,25,985,24,64.32359779560022,Pending,2.1800374515822165,Rail,Route A,997.4134501331946,16655.220690930706,1951896.7224780584,2285549.9646779993,0.8540162116967993,B (Medium Value),2023-12-14,8.033333333333333,4.730290456431535,Healthy
cosmetics,SKU29,63.44755918520733,3,253,8318.903194617178,Female,45,5,67,7,Carrier B,8.100973145397031,Supplier 1,Kolkata,16,329,7,39.29287558606575,Pass,3.878098936588488,Road,Route B,764.9353759407081,16052.232473857455,1967948.954951916,2285549.9646779993,0.8610395683164036,B (Medium Value),2023-10-10,8.433333333333334,5.335968379446641,Healthy
skincare,SKU10,15.707795681912138,11,996,2330.965802091949,Non-binary,51,13,80,2,Carrier C,8.673211211278613,Supplier 5,Kolkata,18,830,5,96.52735278531092,Pass,1.7273139283559424,Road,Route B,806.103177702923,15644.964499184489,1983593.9194511003,2285549.9646779993,0.8678847323867451,B (Medium Value),2023-04-17,33.2,1.536144578313253,Healthy
skincare,SKU65,33.69771720664313,72,457,8354.579686481995,Male,57,24,54,8,Carrier C,6.580541347884595,Supplier 5,Kolkata,16,358,21,1.5972227430506774,Fail,4.911095954842331,Rail,Route C,555.8591036717435,15399.85676343591,1998993.7762145363,2285549.9646779993,0.8746226541129961,B (Medium Value),2023-12-10,15.233333333333333,3.741794310722101,Healthy
cosmetics,SKU92,47.71423307582023,44,276,2100.1297546259366,Male,90,25,10,8,Carrier B,4.469500026123601,Supplier 2,Mumbai,4,671,29,62.61269039561434,Pass,0.3334318252247392,Rail,Route B,230.0927825367629,13169.128328926385,2012162.9045434627,2285549.9646779993,0.8803845619830705,B (Medium Value),2023-09-28,9.2,9.782608695652174,Healthy
cosmetics,SKU89,97.76008558193868,10,134,5924.682566853231,Unknown,90,1,27,8,Carrier B,9.92981624527726,Supplier 1,Kolkata,23,370,11,46.60387338164447,Pending,1.9076657339590744,Rail,Route B,517.4999739290605,13099.851467979783,2025262.7560114425,2285549.9646779993,0.8861161590474232,B (Medium Value),2023-09-20,4.466666666666667,20.149253731343286,Overstocked (Cash Trap)
skincare,SKU64,89.63409560813533,11,134,8458.730878367178,Female,73,27,75,6,Carrier C,4.585353468194652,Supplier 1,Delhi,17,328,6,8.693042425877287,Fail,0.1594863147175146,Air,Route C,771.2250846811575,12010.968811490133,2037273.7248229326,2285549.9646779993,0.8913713356994822,B (Medium Value),2023-05-08,4.466666666666667,16.34328358208955,Healthy
haircare,SKU79,57.05703122110322,56,198,7888.723268427081,Non-binary,31,25,20,1,Carrier B,6.4963253642950445,Supplier 3,Bangalore,5,228,12,57.87090292403628,Pending,0.1658716274806082,Air,Route C,351.50421933503867,11297.292181778439,2048571.017004711,2285549.9646779993,0.8963142563778189,B (Medium Value),2023-12-06,6.6,4.696969696969697,Healthy
haircare,SKU57,49.26320535073416,65,227,1605.8669003924058,Unknown,5,18,51,1,Carrier B,9.16055853538187,Supplier 2,Delhi,21,588,25,67.77962298707814,Pending,2.511174830212707,Rail,Route A,482.1912386025281,11182.747614616654,2059753.7646193278,2285549.9646779993,0.9012070602050991,B (Medium Value),2023-01-28,7.566666666666666,0.6607929515418502,Healthy
skincare,SKU1,14.84352327508434,95,736,7460.900065445849,Female,53,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,10924.833130462075,2070678.59774979,2285549.9646779993,0.9059870183330332,B (Medium Value),2023-03-20,24.533333333333335,2.160326086956522,Healthy
cosmetics,SKU8,68.71759674852733,78,150,7517.363210631127,Female,5,10,15,7,Carrier C,3.4047338570830266,Supplier 4,Mumbai,13,769,8,11.423027139565695,Pending,2.709862691109961,Sea,Route B,505.55713422546415,10307.6395122791,2080986.237262069,2285549.9646779993,0.9104969348395977,B (Medium Value),2023-09-19,5.0,1.0,Healthy
cosmetics,SKU17,81.46253436923702,82,126,2629.396434845262,Female,45,17,85,9,Carrier C,3.585418958232342,Supplier 1,Chennai,7,453,16,47.679680368355335,Fail,0.1020207549181761,Air,Route C,670.9343907924103,10264.279330523865,2091250.516592593,2285549.9646779993,0.9149878799027785,B (Medium Value),2023-02-01,4.2,10.714285714285715,Healthy
skincare,SKU75,92.99688423397066,29,106,1889.073589779335,Non-binary,16,20,56,10,Carrier C,2.473897761045461,Supplier 1,Chennai,25,759,11,48.06478264000659,Pass,2.030069088668752,Air,Route C,873.1296480176514,9857.66972880089,2101108.186321394,2285549.9646779993,0.9193009204755712,B (Medium Value),2023-05-21,3.533333333333333,4.528301886792453,Healthy
skincare,SKU19,51.12387008796474,100,187,2553.495584991215,Unknown,48,11,94,3,Carrier A,4.742635882841877,Supplier 4,Chennai,20,694,16,82.37332058799021,Fail,3.646450865417029,Road,Route C,477.3076310909034,9560.163706449406,2110668.3500278434,2285549.9646779993,0.923483792805731,B (Medium Value),2023-05-22,6.233333333333333,7.700534759358289,Healthy
skincare,SKU36,9.813002578754052,34,963,7573.402457848733,Female,18,23,28,3,Carrier B,2.107951267159081,Supplier 2,Delhi,26,671,19,45.531364237162144,Fail,3.8055333792433537,Air,Route C,403.8089742481805,9449.921483340151,2120118.2715111836,2285549.9646779993,0.9276184306956848,B (Medium Value),2023-01-14,32.1,0.5607476635514018,Stock Out Risk (Hot Item)
cosmetics,SKU50,14.203484264803022,91,633,5910.885389668899,Female,31,23,82,10,Carrier A,6.247860914975991,Supplier 2,Delhi,20,306,21,45.17875792463452,Fail,4.754800804671185,Rail,Route B,496.24865029194046,8990.805539620313,2129109.0770508037,2285549.9646779993,0.9315521909190746,B (Medium Value),2023-03-09,21.1,1.4691943127962086,Healthy
skincare,SKU31,50.8473930517187,28,168,9655.135102719398,Male,6,17,44,4,Carrier B,2.6796609649814065,Supplier 3,Chennai,24,461,8,60.25114566159808,Pending,2.9890000066550746,Rail,Route C,609.3792066184267,8542.362032688741,2137651.4390834924,2285549.9646779993,0.9352897430026896,B (Medium Value),2023-04-28,5.6,1.0714285714285714,Healthy
cosmetics,SKU96,24.42313142037338,29,324,7698.424765632117,Non-binary,67,2,32,3,Carrier C,5.352878043996809,Supplier 3,Mumbai,28,648,28,17.80375633139127,Pending,3.872047681482133,Road,Route A,188.74214114905695,7913.0945802009755,2145564.5336636933,2285549.9646779993,0.9387519707826524,B (Medium Value),2023-01-04,10.8,6.203703703703704,Healthy
haircare,SKU93,69.29083100290549,88,114,4531.4021336919095,Unknown,63,17,66,1,Carrier C,7.0064320590043945,Supplier 4,Chennai,21,824,20,35.63365234334388,Fail,4.165781795424145,Air,Route A,823.5238458881558,7899.154734331226,2153463.6883980245,2285549.9646779993,0.9422080994415785,B (Medium Value),2023-09-21,3.8,16.578947368421055,Healthy
cosmetics,SKU49,78.89791320564004,19,99,8001.613206519002,Unknown,97,24,9,6,Carrier C,2.5056210329009154,Supplier 5,Delhi,28,177,28,14.147815443979216,Pass,2.825813985400132,Rail,Route A,336.8901685199779,7810.893407358364,2161274.581805383,2285549.9646779993,0.9456256109937526,B (Medium Value),2023-01-13,3.3,29.393939393939394,Overstocked (Cash Trap)
skincare,SKU53,30.34147071121421,93,242,8232.334829425821,Male,96,25,54,3,Carrier B,1.0134865660958965,Supplier 1,Delhi,1,631,17,83.34405899167797,Pending,1.4103475760760271,Air,Route B,750.7378406682709,7342.6359121138385,2168617.2177174967,2285549.9646779993,0.9488382451630294,B (Medium Value),2023-11-02,8.066666666666666,11.900826446280991,Healthy
skincare,SKU42,46.52916761451677,98,155,1839.609425856764,Female,22,27,57,4,Carrier C,7.526248326851508,Supplier 5,Bangalore,26,179,7,96.42282063957188,Fail,4.939255288620948,Road,Route A,635.6571205019919,7212.0209802500995,2175829.238697747,2285549.9646779993,0.95199373119121,C (Low Value),2023-02-07,5.166666666666667,4.258064516129032,Healthy
haircare,SKU43,11.74327177630924,6,598,5737.425599119023,Unknown,36,29,85,9,Carrier B,3.6940212683884543,Supplier 5,Mumbai,1,206,23,26.27736595733241,Pending,0.3723047679850977,Air,Route A,716.0441197593407,7022.476522232925,2182851.7152199796,2285549.9646779993,0.9550662855570132,C (Low Value),2023-03-06,19.933333333333334,1.8060200668896322,Healthy
skincare,SKU60,17.028027920188702,16,380,8864.084349586436,Female,41,27,72,8,Carrier C,4.3813681581023145,Supplier 4,Mumbai,29,929,24,87.21305781513568,Fail,2.853090616649054,Rail,Route A,430.1690969751365,6470.650609671707,2189322.3658296512,2285549.9646779993,0.9578973987287541,C (Low Value),2023-07-16,12.666666666666666,3.236842105263158,Healthy
haircare,SKU87,80.41403665035574,24,79,5133.846701086692,Male,5,7,55,10,Carrier A,6.575803797548535,Supplier 3,Chennai,27,523,17,28.69699682414317,Fail,3.693737787839276,Sea,Route B,879.3592177349243,6352.708895378103,2195675.0747250295,2285549.9646779993,0.9606769086907134,C (Low Value),2023-03-27,2.6333333333333333,1.89873417721519,Healthy
haircare,SKU68,37.93181238279032,29,163,3550.218432780992,Non-binary,0,8,58,8,Carrier B,1.1942518648849991,Supplier 2,Bangalore,2,375,18,97.1135815634622,Fail,1.98346787217418,Rail,Route A,299.7063031181032,6182.885418394822,2201857.9601434246,2285549.9646779993,0.9633821155398081,C (Low Value),2023-05-12,5.433333333333334,0.0,Healthy
haircare,SKU61,52.02874990329492,23,117,6885.589350896253,Unknown,32,23,36,7,Carrier C,9.030340422521949,Supplier 4,Kolkata,14,480,12,78.7023939688789,Fail,4.367470538205053,Air,Route A,164.36652824341942,6087.363738685506,2207945.32388211,2285549.9646779993,0.9660455286494589,C (Low Value),2023-11-08,3.9,8.205128205128206,Healthy
haircare,SKU78,6.306883176111915,50,946,1292.4584179377562,Unknown,5,4,51,5,Carrier B,8.46704977086199,Supplier 5,Mumbai,25,858,21,71.12651472040338,Pending,4.096881332470452,Sea,Route C,323.59220343132216,5966.311484601872,2213911.6353667118,2285549.9646779993,0.9686559775903301,C (Low Value),2023-03-12,31.533333333333335,0.15856236786469344,Stock Out Risk (Hot Item)
skincare,SKU82,17.034930739467917,13,336,2943.3818676094515,Unknown,42,19,72,1,Carrier A,4.70818187354193,Supplier 2,Mumbai,6,955,26,4.46527843494324,Pending,4.137877048622357,Road,Route C,589.9785556280407,5723.73672846122,2219635.3720951728,2285549.9646779993,0.9711602924453621,C (Low Value),2023-04-17,11.2,3.75,Healthy
