Product type,SKU,Price,Stock levels,Number of products sold,Run_Rate_Daily,Months_Inventory_On_Hand,Inventory_Status
skincare,SKU19,51.12387008796474,48,187,6.233333333333333,0.25668449197860965,Healthy
skincare,SKU39,19.127477265823256,78,176,5.866666666666666,0.4431818181818182,Healthy
skincare,SKU31,50.8473930517187,6,168,5.6,0.03571428571428571,Healthy
haircare,SKU68,37.93181238279032,0,163,5.433333333333334,0.0,Healthy
skincare,SKU42,46.52916761451677,22,155,5.166666666666667,0.14193548387096774,Healthy
haircare,SKU51,26.70076097246173,100,154,5.133333333333334,0.6493506493506493,Overstocked (Cash Trap)
cosmetics,SKU8,68.71759674852733,5,150,5.0,0.03333333333333333,Healthy
haircare,SKU5,1.6999760138659377,90,147,4.9,0.6122448979591837,Overstocked (Cash Trap)
haircare,SKU25,39.62934398509263,82,142,4.733333333333333,0.5774647887323944,Overstocked (Cash Trap)
skincare,SKU64,89.63409560813533,73,134,4.466666666666667,0.5447761194029851,Healthy
cosmetics,SKU89,97.76008558193868,90,134,4.466666666666667,0.6716417910447762,Overstocked (Cash Trap)
cosmetics,SKU17,81.46253436923702,45,126,4.2,0.35714285714285715,Healthy
haircare,SKU61,52.02874990329492,32,117,3.9,0.27350427350427353,Healthy
haircare,SKU93,69.29083100290549,63,114,3.8,0.5526315789473685,Healthy
skincare,SKU75,92.99688423397066,16,106,3.533333333333333,0.1509433962264151,Healthy
cosmetics,SKU49,78.89791320564004,97,99,3.3,0.9797979797979798,Overstocked (Cash Trap)
skincare,SKU56,20.986386037043378,25,93,3.1,0.26881720430107525,Healthy
skincare,SKU3,61.163343016437736,23,83,2.7666666666666666,0.27710843373493976,Healthy
haircare,SKU87,80.41403665035574,5,79,2.6333333333333333,0.06329113924050633,Healthy
skincare,SKU6,4.078332863107945,11,65,2.1666666666666665,0.16923076923076924,Healthy
haircare,SKU97,3.526111259143416,46,62,2.066666666666667,0.7419354838709677,Healthy
haircare,SKU70,47.914541824058766,10,32,1.0666666666666667,0.3125,Healthy
haircare,SKU48,76.03554442689172,30,29,0.9666666666666667,1.0344827586206897,Healthy
cosmetics,SKU85,76.96299441519388,15,25,0.8333333333333334,0.6,Healthy
haircare,SKU45,33.78413803306551,93,24,0.8,3.875,Overstocked (Cash Trap)
haircare,SKU2,11.319683293090566,1,8,0.26666666666666666,0.125,Healthy
